"year","has.tokens","ones","zeros"
1780,0,0,0
1781,0,0,0
1782,0,0,0
1783,0,0,0
1784,1,0,13
1785,0,0,0
1786,0,0,0
1787,0,0,0
1788,0,0,0
1789,1,0,14
1790,1,0,3
1791,0,0,0
1792,0,0,0
1793,0,0,0
1794,0,0,0
1795,0,0,0
1796,0,0,0
1797,1,0,5
1798,1,0,13
1799,1,0,17
1800,0,0,0
1801,1,2,0
1802,1,0,5
1803,0,0,0
1804,1,1,16
1805,0,0,0
1806,1,2,5
1807,1,0,42
1808,0,0,0
1809,1,1,19
1810,1,1,31
1811,1,1,43
1812,1,3,41
1813,1,0,53
1814,1,2,37
1815,1,0,29
1816,1,1,5
1817,1,3,25
1818,1,6,71
1819,1,1,47
1820,1,2,21
1821,1,3,11
1822,1,1,40
1823,1,1,3
1824,1,1,2
1825,1,5,13
1826,1,2,27
1827,1,0,13
1828,1,3,14
1829,1,4,34
1830,1,1,17
1831,1,6,30
1832,1,1,31
1833,1,0,19
1834,1,1,40
1835,1,2,30
1836,1,2,50
1837,1,0,11
1838,1,0,20
1839,1,8,39
1840,1,2,26
1841,1,3,25
1842,1,2,31
1843,1,0,10
1844,1,0,52
1845,1,13,57
1846,1,5,57
1847,1,1,49
1848,1,0,6
1849,1,2,10
1850,1,7,17
1851,1,4,17
1852,1,4,33
1853,1,4,9
1854,1,4,4
1855,1,3,5
1856,1,5,19
1857,1,8,18
1858,1,6,28
1859,1,5,36
1860,1,4,15
1861,1,11,40
1862,1,6,27
1863,1,4,10
1864,1,8,32
1865,1,7,26
1866,1,5,43
1867,1,10,41
1868,1,9,24
1869,1,8,41
1870,1,12,29
1871,1,9,24
1872,1,7,9
1873,1,1,2
1874,1,4,11
1875,1,2,20
1876,1,1,1
1877,1,1,4
1878,1,0,1
1879,1,1,21
1880,1,4,26
1881,1,5,19
1882,1,5,17
1883,1,0,9
1884,0,0,0
1885,1,5,8
1886,1,9,11
1887,1,10,32
1888,1,4,30
1889,1,4,13
1890,1,2,0
1891,1,12,11
1892,1,2,1
1893,1,6,3
1894,1,0,3
1895,1,4,12
1896,1,4,3
1897,1,3,3
1898,1,1,0
1899,1,0,4
1900,1,6,20
1901,1,17,26
1902,1,5,36
1903,1,5,20
1904,1,7,31
1905,1,11,29
1906,1,6,32
1907,0,0,0
1908,0,0,0
1909,0,0,0
1910,0,0,0
