"year","has.tokens","ones","zeros"
1780,0,0,0
1781,0,0,0
1782,0,0,0
1783,0,0,0
1784,1,0,13
1785,0,0,0
1786,0,0,0
1787,0,0,0
1788,0,0,0
1789,1,0,14
1790,1,0,9
1791,0,0,0
1792,0,0,0
1793,0,0,0
1794,0,0,0
1795,1,1,9
1796,1,0,8
1797,1,1,6
1798,1,0,19
1799,1,0,17
1800,1,0,5
1801,1,2,6
1802,1,1,25
1803,1,0,15
1804,1,2,17
1805,1,6,77
1806,1,3,69
1807,1,3,106
1808,0,0,0
1809,1,1,29
1810,1,1,56
1811,1,2,104
1812,1,4,98
1813,1,1,136
1814,1,3,121
1815,1,0,40
1816,1,3,73
1817,1,8,98
1818,1,16,157
1819,1,1,108
1820,1,12,165
1821,1,7,149
1822,1,6,135
1823,1,4,53
1824,1,2,34
1825,1,6,70
1826,1,9,282
1827,1,11,217
1828,1,14,107
1829,1,8,142
1830,1,1,98
1831,1,13,171
1832,1,6,109
1833,1,2,114
1834,1,3,124
1835,1,11,184
1836,1,14,196
1837,1,4,87
1838,1,6,110
1839,1,13,114
1840,1,7,164
1841,1,14,135
1842,1,4,61
1843,1,4,68
1844,1,1,104
1845,1,14,112
1846,1,10,101
1847,1,3,83
1848,1,2,41
1849,1,6,96
1850,1,16,82
1851,1,9,69
1852,1,4,54
1853,1,9,27
1854,1,11,22
1855,1,8,20
1856,1,7,20
1857,1,14,28
1858,1,12,38
1859,1,14,48
1860,1,7,21
1861,1,17,54
1862,1,6,33
1863,1,4,14
1864,1,9,34
1865,1,9,40
1866,1,8,52
1867,1,16,75
1868,1,14,39
1869,1,18,62
1870,1,15,55
1871,1,10,28
1872,1,9,14
1873,1,1,4
1874,1,9,26
1875,1,30,54
1876,1,14,18
1877,1,7,15
1878,1,13,22
1879,1,28,38
1880,1,17,45
1881,1,11,29
1882,1,8,23
1883,1,1,24
1884,1,1,7
1885,1,6,17
1886,1,11,19
1887,1,10,37
1888,1,13,42
1889,1,12,27
1890,1,11,21
1891,1,27,31
1892,1,15,25
1893,1,11,22
1894,1,2,18
1895,1,12,25
1896,1,8,9
1897,1,4,27
1898,1,4,10
1899,1,1,8
1900,1,11,23
1901,1,22,42
1902,1,7,54
1903,1,6,31
1904,1,8,38
1905,1,16,53
1906,1,10,42
1907,1,0,3
1908,1,0,7
1909,0,0,0
1910,1,2,4
