"year","has.tokens","ones","zeros"
1780,0,0,0
1781,0,0,0
1782,0,0,0
1783,0,0,0
1784,0,0,0
1785,0,0,0
1786,0,0,0
1787,0,0,0
1788,0,0,0
1789,0,0,0
1790,1,0,6
1791,0,0,0
1792,0,0,0
1793,0,0,0
1794,0,0,0
1795,1,1,9
1796,1,0,8
1797,1,1,1
1798,1,0,6
1799,0,0,0
1800,1,0,5
1801,1,0,6
1802,1,1,20
1803,1,0,15
1804,1,1,1
1805,1,6,77
1806,1,1,64
1807,1,3,64
1808,0,0,0
1809,1,0,10
1810,1,0,25
1811,1,1,61
1812,1,1,57
1813,1,1,83
1814,1,1,84
1815,1,0,11
1816,1,2,68
1817,1,5,73
1818,1,10,86
1819,1,0,61
1820,1,10,144
1821,1,4,138
1822,1,5,95
1823,1,3,50
1824,1,1,32
1825,1,1,57
1826,1,7,255
1827,1,11,204
1828,1,11,93
1829,1,4,108
1830,1,0,81
1831,1,7,141
1832,1,5,78
1833,1,2,95
1834,1,2,84
1835,1,9,154
1836,1,12,146
1837,1,4,76
1838,1,6,90
1839,1,5,75
1840,1,5,138
1841,1,11,110
1842,1,2,30
1843,1,4,58
1844,1,1,52
1845,1,1,55
1846,1,5,44
1847,1,2,34
1848,1,2,35
1849,1,4,86
1850,1,9,65
1851,1,5,52
1852,1,0,21
1853,1,5,18
1854,1,7,18
1855,1,5,15
1856,1,2,1
1857,1,6,10
1858,1,6,10
1859,1,9,12
1860,1,3,6
1861,1,6,14
1862,1,0,6
1863,1,0,4
1864,1,1,2
1865,1,2,14
1866,1,3,9
1867,1,6,34
1868,1,5,15
1869,1,10,21
1870,1,3,26
1871,1,1,4
1872,1,2,5
1873,1,0,2
1874,1,5,15
1875,1,28,34
1876,1,13,17
1877,1,6,11
1878,1,13,21
1879,1,27,17
1880,1,13,19
1881,1,6,10
1882,1,3,6
1883,1,1,15
1884,1,1,7
1885,1,1,9
1886,1,2,8
1887,1,0,5
1888,1,9,12
1889,1,8,14
1890,1,9,21
1891,1,15,20
1892,1,13,24
1893,1,5,19
1894,1,2,15
1895,1,8,13
1896,1,4,6
1897,1,1,24
1898,1,3,10
1899,1,1,4
1900,1,5,3
1901,1,5,16
1902,1,2,18
1903,1,1,11
1904,1,1,7
1905,1,5,24
1906,1,4,10
1907,1,0,3
1908,1,0,7
1909,0,0,0
1910,1,2,4
