Century,Complement,Tense,Tense_Simplified,Reading,left,right,year,buinn,source,be,verb,Sub_BA,SuB,Excl
12,NULL,PRS,PRS,Prepared,svarar hugur vor. En ef einum verður svo gjörla gefið og er,"of annarra hlut allra, svo þó að þeir eru rændir öllu því góðu, er þeir höfð",1150,búið,(homil),NA,NA,None,0,
12,NULL,PRS,PRS,Prepared,"í að hann tekur bæði við stoðlausum og góðum ekkjum, þeim er",eru til bænahalds eða lítillætis eða ölmusugæðis. Sá er eigi hefir fémuni a,1150,búnar,(homil),NA,NA,None,0,
12,NULL,NA,NA,svo búið,tt með iðrun og föstum og bænum og ölmusugjörðum og fari svo,á Guðs hátíð til Guðs musteris að biðja fyr sér. Og munu þá verða þægilegar,1150,búinn,(homil),NA,NA,None,0,
12,NULL,NF,Other,Prepared,"nt, að dauðinn komi að hendi, þá skyldim vér ávallt vera við",", að eigi komi hann, þá er síst varir, ef hans er gleymt. En sá er hlutur væ",1150,búnir,(homil),NA,NA,None,0,
12,NULL,NA,NA,Fixed,"dómadags. Hitt skiptir hvern miklu meira, að þá væri vel við",", er hann kemur. En svo er sem hverjum komi dómadagur, þegar er hann andast,",1150,búinn,(homil),NA,NA,None,0,
12,NULL,PRS,PRS,Prepared,"eg til, griðungar mínir og alifuglar höggnir og allir hlutir",". Komið ér til boðsins."" Hvað skal þar merkja í griðungum og alifuglum? Hvað",1150,búnir,(homil),NA,NA,None,0,
12,NULL,PRS,PRS,Prepared,"s: ""Griðungar mínir og alifuglar eru höggnir og allir hlutir",". Komið ér til boðsins."" Sem þetta er mælt: ""Fyrirfarandi feðra dæmi og dauð",1150,búnir,(homil),NA,NA,None,0,
12,NULL,PRS-SBJ,PRS,Prepared,"um þykir engi hæfur ella í kristinna manna liði, nema svo sé",". Sem segir í þeim orðum, er eftir fara, að þá er konungurinn sá þann, er ei",1150,búinn,(homil),NA,NA,None,0,
12,NULL,NA,NA,Fixed,"að þeir munu á <S 4>ór orð heyra flestir, er bæði munu betur",að viti og að máli en vér séim. Nú ef ér vilið þó að hvoru taka við kenning,1150,búnir,(homil),NA,NA,None,0,
12,NULL,PRS,PRS,Prepared,"gir í guðspjallinu, að þá mælti konungurinn við þræla sína: ""","fögnuðurinn, en þeir voru óverðir að njóta, er boðið var."" Og báru þeir vit",1150,Búinn,(homil),NA,NA,None,0,
