label	century	genre	year	textid	treeid	text
IP-SUB	12	rel	1150	homiliubok	191	Vitum vér þess von ofvalt er vér mælum fyr mjög mörgum mönnum að þeir munu á ór orð heyra flestir er bæði munu betur búnir að viti og að máli en vér séim
IP-SUB	12	rel	1150	homiliubok	1365	og bíðið svo Drottins því að hann tekur bæði við stoðlausum og góðum ekkjum þeim er búnar eru til bænahalds eða lítillætis eða ölmusugæðis
IP-SUB	12	rel	1150	homiliubok	2277	Það er oss mest nauðsyn að vér leitim við að vér sém búnir við andláti óru ávallt hverja stund frá annarri af því að vér vitum eigi hvort vér tökum öndina síð er vér hrindim henni frá oss
IP-SUB	13	rel	1210	thorlakur	3173	og hafði þá enn mikið gott það af sér að miðla í kenningum sínum er hann var áður trautt jafn vel við búinn sem nú
IP-MAT	13	rel	1210	thorlakur	3591	Þá var búið um líkamann og skorið hár hans
IP-SUB	13	nar	1250	sturlunga	3721	sagði vera mega að þeir yrðu eigi við búnir eða komi sér eigi saman ef þá bæri skjótt að
IP-MAT	13	nar	1250	sturlunga	3735	Lið Þorleifs var vel búið að vopnum
IP-SUB	13	nar	1250	sturlunga	5050	En er þeir voru búnir og höfðu lagt út undir Hólm þá komu menn sunnan frá konungi og með bréfum
IP-SUB	13	nar	1250	sturlunga	5054	Og þá er þeir voru búnir hafði hertoginn þá í boði sínu áður þeir tóku orlof
IP-SUB	13	nar	1250	thetubrot	5884	En er hann var búinn ferðar sinnar og byr gaf þá hélt hann til hafs
IP-SUB	13	nar	1250	thetubrot	5951	En er Egill var búinn og byr gaf þá siglir hann í haf
IP-SUB	13	nar	1260	jomsvikingar	6586	Og síðan fóru þeir leiðar sinnar þá er þeir voru til þess búnir
IP-SUB	13	nar	1260	jomsvikingar	6615	Og þegar er Hákon jarl veit þessi tíðendi þá gerir hann atróður harðan þá er þeir Gull<dash>Haraldur voru síst viður búnir
IP-SUB	13	nar	1260	jomsvikingar	6645	og sögðu menn henni að dýrleg veisla var búin í móti henni að konungs
IP-SUB	13	nar	1260	jomsvikingar	6680	Jarl fer þegar úr landi er hann er búinn
IP-SUB	13	nar	1260	jomsvikingar	6737	og fer þegar er hann var búinn
IP-MAT	13	nar	1260	jomsvikingar	7032	og voru allir vel búnir að klæðum og vopnum
IP-SUB	13	nar	1260	jomsvikingar	7053	og felldu á þá tjöldin er þeir voru ekki viður búnir
IP-SUB	13	nar	1260	jomsvikingar	7636	Hann fer úr landi þegar er ferð hans er búin
IP-SUB	13	law	1270	gragas	7919	og er honum rétt að hafa þann tilbúning sem aðrir menn hafa til búið
IP-SUB	13	law	1270	gragas	7923	enda er rétt að hann nýti það allt er áður hefir verið til búið ef hann vill hvort sem hann vill allt eða sumt
IP-MAT	13	nar	1275	morkin	8412	Það lið var og einkum best búið
IP-SUB	13	nar	1275	morkin	8822	Nú fer Hákon með lið sitt þá er hann er búinn upp á Gautland
IP-MAT	13	nar	1275	morkin	8842	og voru þau skip ágætliga búin
IP-MAT	13	nar	1275	morkin	8863	en það allt er honum hafði heiman fylgt var vel við búið bæði að vopnum og klæðum
IP-SUB	13	nar	1275	morkin	9394	Og er þeir voru búnir er til Nóregs ætluðu fer Halli á fund konungs
IP-MAT	13	nar	1275	morkin	9532	og voru búnir skrautliga
IP-SUB	13	nar	1275	morkin	9735	og settist í rúm það eða sæti er var honum búið
IP-SUB	13	nar	1275	morkin	9900	Segja svo allir þeir er nökkur frásögn er kunnig hér um að eigi hafi betra mannval búist af Nóregi til einnar ferðar en þetta
IP-MAT	14	nar	1300	alexander	10340	Þetta lið var og undarliga vel búið með vopnum
IP-SUB	14	nar	1300	alexander	10399	Og þegar er til þess var búið þá láta konungsmenn skip sín úr festum
IP-SUB	14	nar	1300	alexander	10478	Og þegar er konungur sér byskup þá kemur honum í hug að sá maður var jafnt þannug búinn er honum vitraðist fyrr meir
