response	label	textid	genre	year	century	treeid	text
0	IP-SUB	firstgrammar	sci	1150	12	1	Í flestum löndum setja menn á bækur annað tveggja þann fróðleik er þar innan lands hefir gjörst eða þann annan er minnisamlegastur þykir þó að annars staðar hafi heldur gjörst
0	IP-SUB	firstgrammar	sci	1150	12	1	Í flestum löndum setja menn á bækur annað tveggja þann fróðleik er þar innan lands hefir gjörst eða þann annan er minnisamlegastur þykir þó að annars staðar hafi heldur gjörst
0	IP-SUB	firstgrammar	sci	1150	12	3	En af því að tungurnar eru ólíkar hver annarri þær þegar er úr einni og hinni sömu tungu hafa gengist eða greinst þá þarf ólíka stafi í að hafa en eigi hina sömu alla í öllum sem eigi rita grikkir latínustöfum girskuna og eigi latínumenn girskum stöfum latínu né enn heldur hebreskir menn hebreskuna hvorki grískum stöfum né latínu
0	IP-MAT	firstgrammar	sci	1150	12	10	Nú eftir þeirra dæmum alls vér erum einnar tungu þó að gjörst hafi mjög önnur tveggja eða nakkvað báðar til þess að hægra verði að rita og lesa sem nú tíðist og á þessu landi bæði lög og áttvísi eða þýðingar helgar eða svo þau hin spaklegu fræði er Ari Þorgilsson hefir á bækur sett af skynsamlegu viti þá hefi ég og ritað oss Íslendingum stafróf bæði latínustöfum öllum þeim er mér þótti gegna til vors máls vel svo að réttræðir mættu verða og þeim öðrum er mér þótti í þurfa að vera
0	IP-SUB	firstgrammar	sci	1150	12	10	Nú eftir þeirra dæmum alls vér erum einnar tungu þó að gjörst hafi mjög önnur tveggja eða nakkvað báðar til þess að hægra verði að rita og lesa sem nú tíðist og á þessu landi bæði lög og áttvísi eða þýðingar helgar eða svo þau hin spaklegu fræði er Ari Þorgilsson hefir á bækur sett af skynsamlegu viti þá hefi ég og ritað oss Íslendingum stafróf bæði latínustöfum öllum þeim er mér þótti gegna til vors máls vel svo að réttræðir mættu verða og þeim öðrum er mér þótti í þurfa að vera
0	IP-MAT	firstgrammar	sci	1150	12	15	Við þá hljóðstafi fimm er áður voru í latínustafrófi a e i o u þar hefi ég við gjörva þessa stafi fjóra er hér eru ritnir nú ǫ ę ø y
0	IP-MAT-SPE	firstgrammar	sci	1150	12	81	Þá svara ég svo „ Þú hefir þar rétt fundið og þú eigi alls getið þess er þér má ég kynlega þykja ritað hafa
0	IP-MAT-SPE	firstgrammar	sci	1150	12	82	og þó hafi ég fyrir önnkost svo ritað í flestum stöðum
0	IP-MAT	firstgrammar	sci	1150	12	128	Hvorki hefi ég brugðið vexti né nafni á h því að hann má hvorki vaxa né þverra né á engi veg skapast í sínu atkvæði
0	IP-SUB	firstgrammar	sci	1150	12	157	Nú þó að ég hafi mjög skyndilega mælt um höfuðstafanna rit þeirra er fyrir tvo skal einn vera þá kalla ég eigi rangt né illa ritað þó að hinir tveir séu þar heldur ritnir er hvorgi er höfuðstafur er þó vilji ég heldur einn staf rita þar sem bæði stoðar jafnmikið einn og tveir til þess sem ég sagði að rit verði minna og skjótara og bókfell drjúgara
0	IP-SUB	firstgrammar	sci	1150	12	171	Betra er hverjum fyrr þagat en annar hafi þaGat
0	IP-SUB	homiliubok	rel	1150	12	187	En sú þjónasta önnur er oss boðin við Guð á helgum tíðum að vér skulum hans erindi reka við yður og kynna yður miskunn þá alla er hann hefir oss veitt í burð sínum og hérvist sinni og písl og upprisu af dauða og þeirri skipun margfaldri er þeim jarteinum fylgdi
0	IP-SUB	homiliubok	rel	1150	12	188	ættim vér og að kynna yður boðorð hans hve hann vill að vér skipim voru athæfi þess er vér megim þá farsælu nýta oss er Kristur sjálfur hefir oss til boðið
0	IP-SUB	homiliubok	rel	1150	12	189	Nú þó að vér séim mjög vanbúnir til hvorrar sem vér fremjum guðsþjónustu þeirra er nú hefi eg til tíndar þá verður þó að hvoru yður það allra auðsýnst hve mjög vér erum vanbúnir við því er vér skulum Guði þjóna á þá tungu og á þá mállýsku er ér kunnuð jamt skilja og um að mæla sem vér
0	IP-MAT	homiliubok	rel	1150	12	233	Og það allt er Guð hefir oss veitt miskunnar í hingaðkomu sonar síns þá höfum vér það allt af henni hlotið því að hún gjörðist verð að bera þann er oss leysti með sínu blóði frá helvítis kvölum
