label,textid,genre,year,century,lexicaldiversity,subgenre,treeid,tense,prog,fara,taka,,FOCAL,text,Notes
IP-MAT,firstgrammar,sci,1150,12,0.29,lin,77,BEPI,,,,,,En það er gott að vita sem fyrr var getið er svo kveður að hverjum raddarstaf í hverju máli sem hann heitir í stafrófi nema þá er hann hafnar sínu eðli og hann má heldur þá samhljóðandi heita en raddarstafur,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,185,BEPI,,,,,,Menn þeir er bera kennimannanöfn og vígslur yfir ólærðum mönnum þeir eru skyldir að þjóna Guði skapera sínum á öllum hátíðum með tvinnri þjónustu,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,186,BEPI,,,,,,þeir eru skyldir að þjóna Guði skapera sínum á öllum hátíðum með tvinnri þjónustu Þeirri annarri að veita tíðagjörð í heyrn yður slíka sem til hverrar hátíðar er gjör á bókum og reka svo erindi yðvart við Guð að halda fyr yður bænum þeim er til eru settar,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,203,BEPI,,,,,,En þó er hennar hreinlífi dýrlegra en annarra því að meiri vegur er að sýna in bestu dæmi en eftir að glíkja,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,284,BEPI,,,,,,Á jörðu er mönnum skylt að fagna dýrð hennar því að hún vill hjálpa öllum þeim er hana dýrka,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,381,BEPI,,,,,,Og eigi er maður skyldur að gefa framar,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,597,BEPI,,,,,,En þó að allra mest þyki það til hátíða koma að ræða of þekktarhluti þá er þó enn sem nauðsyn beiði að láta yður vita við hví varast skal alls þó verður mjög langt á meðal áminninganna,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,608,BEPI,,,,,,Sicut þeim manni verður harla þungt að svimma ef hann vill eigi kasta fötum sínum áður af sér hvort er hann svimmur í sjó eða vatni þá er þó torveldlegri byrður öndinni að komast með syndirnar í loftið upp,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,622,BEPI,,,,,,Nú svo sem vanur er veiðimaðurinn að verpa þar neti sínu er hann veit mestrar veiði von svo gerði og Guðs sonur að hann beið þessa fjölmennis og gaf huggera vinum sínum á þeirri tíð er menn mætti víðast bera lof hans og segja hverjar vingjafar hann veitti ástmönnum sínum,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,656,BEDI,,,,,,Það var síðan önn ólítil að skíra þá menn er til trúu komu,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,721,BEPI,,,,,,og er oss boðið að halda minning lausnar vorrar til þess að vér gleymim eigi miskunn Guðs,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,827,BEPI,,,,,,Allar sakar eru smáar og fáar þær er órir bræður gera við oss við það að virða er vér gerum við vorn almáttkan föður,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,856,BEPS,,,,,,Það er svo rétt skilið Þó að svo illa hafim vér fyr oss leitað er vér vorum Guðs börn að nú séim vér djöfuls mansmenn og synda þjónar og þýjar að Guð frelsi oss frá þeirri ánauð svo að vér þjónim hans réttlæti og standimst freistni og megim fyrgefa þeim er oss misbjóða til þess að Guð fyrgefi oss órar syndir svo að vér séim maklegir að taka þeirrar styrktar brauð er vér lifim að Guðs þokka svo að vér verðim himinríkis menn og heilög Guðs börn honum að öllu þokkuð eftir dómadag þá er vér erum að fullu frelst frá öllu illu frá helvíti og djöfli og öllum hans árum frá öllum svikum og frá sótt og dauða og öllum synda vítum og öllum þessa heims meinum í fullri sælu og eilífum fagnaði ei og ei,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,1047,BEPI,,,,,,En nú er að ræða of þá er undir miskunn vóru og náðu að sjá Krist í mennskum líkam og heyra orð hans og kenningar og styrkjast af hans jarteinum,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,1078,BEPI,,,,,,en það er að helga kirkju Jóhanni baptista er fyrstur kenndi mönnum synda iðrun,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,1118,BEPI,,,,,,Það vil eg og segja yður að aldregi verða syndir órar svo stórar eða svo margar að eigi vilji Guð þegar fyrgefa þær ef af er látið að misgjöra og svo yfirbætt sem máttur er til,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,1189,BEDI,,,,,,Svo var fyrst að farið að skipta heiminum í þriðjunga,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,1568,BEPI,,,,,,en þó er oss bannað að fara ina sömu götu aftur alls vér kenndum Jesúm,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,1706,BEPI,,,,,,Það er svo að skilja að maður matist hvern dag og aldregi sem fýsir,
IP-MAT,homiliubok,rel,1150,12,0.17,ser,1772,BEPI,,,,,,Það er rétt páskahald að halda siðlæti öllu inu sama sem of föstu og viðsjá synda,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,1836,BEDI,,,,,,Kristur lét sér sóma að deyja meðal vondra manna og þeim dauða sem títt var að bana vændismönnum að hann sýndi sig til þess hafa komið í heim að samtengja góða menn og illa þeirri samtengingu er illir menn mætti batna af samvistum góðra og hverfa frá illsku en þeim yrði að áfallsdómi er eigi vildi batna,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,1909,BEPS,,,,,,Upprisutíð Drottins sú er vér höldum nú er æðst og helgust allra hátíða þeirra er oss sé boðnar að halda í þessum heimi,
IP-SUB,homiliubok,rel,1150,12,0.17,ser,2196,BEPI,,,,,,Af því megum vér merkja hversu skyldir vér erum að fylla það er Guð býður oss til syndabótar er Kristur sjálfur eða móðir hans létu sér sóma syndalaus að ganga undir lög þau er syndgum mönnum vóru til hreinsunar sett,
IP-MAT,jartein,rel,1210,13,0.21,sag,2553,BEDI,1,,,,0,Menn voru að tjalda kirkju á einhverjum bæ,
IP-MAT,jartein,rel,1210,13,0.21,sag,2570,BEDI,,,,,,Var þar hvorki að sjá til værleika né verknaðar,
IP-MAT,jartein,rel,1210,13,0.21,sag,2782,BEDI,,,,,,En þá var fengin til öx mikil að höggva þelann,
IP-MAT,jartein,rel,1210,13,0.21,sag,2949,BEDI,,,,,,og var það rætt í hvers manns híbýlum daglega að segja frá hans jarteinum og heilagleik,
IP-SUB,thorlakur,rel,1210,13,0.25,sag,3141,BEDI,,,,,,Gjörði hann það maklega þótt hann virði hann mikils í sinni umræðu því að það var honum í að launa,
IP-SUB,thorlakur,rel,1210,13,0.25,sag,3417,BEDI,,,,,,Sá hann hve mikil nauðsyn á var gott að kenna sem Davíð segir í saltara Komið þér synir,
IP-MAT,thorlakur,rel,1210,13,0.25,sag,3454,BEPI,,,,,,Þess er og að geta er Þorlákur biskup elskaði þann stað mest þegar er Skálholt leið er hann hafði áður prýddan með sinni aðvist,
IP-MAT,thorlakur,rel,1210,13,0.25,sag,3477,BEPI,,,,,,Nú er að segja af hversdagsháttum hins sæla Þorláks biskups hve jafnlyndur hann var í góðum hlutum,
IP-SUB,thorlakur,rel,1210,13,0.25,sag,3486,BEDI,,,,,,Hann var svo jafnlyndur í föstum sínum þá hann var heima en í vökum og bænahaldi hvort sem hann var heima eða eigi að til hins sama var ey að ætla,
IP-MAT,thorlakur,rel,1210,13,0.25,sag,3598,BEDI,1,,,,0,og var í sönghúsi þrjár nætur að bíða graftrar,"Eftir andlát biskups var lík hans borið í kirkju og var í sönghúsi þrjár nætur að bíða graftrar.  ""After the bishop's death, his body was carried into the church and was in the choir for three nights awaiting burial.”"
IP-MAT,sturlunga,nar,1250,13,0.18,sag,4687,BEPI,,,,,,Jafnframt þessu er að segja frá Sturlu,
IP-MAT,sturlunga,nar,1250,13,0.18,sag,5710,BEPI,,,,,,COM:Chapter_306 Frá ferð Órækju er það að segja að hann kom til Laugarvatns um dagseturs skeið,
IP-SUB,thetubrot,nar,1250,13,0.32,sag,6113,BEPI,,,,,,lét Þorsteinn þar að vera marga menn um vorið því að það er löng leið að gerða,
IP-MAT,jomsvikingar,nar,1260,13,0.16,sag,6223,BEPI,,,,,,og er títt að reyna þessa vitru hennar og tilskipan,
IP-MAT,jomsvikingar,nar,1260,13,0.16,sag,6434,BEPI,,,,,,Nú er þar til máls að taka er þeir eru feðgar Haraldur og Gormur konungur að þeir urðu ósamþykkir þegar er Haraldur hafði nokkurn kraft aldursins,
IP-MAT,jomsvikingar,nar,1260,13,0.16,sag,6775,BEPI,,,,,,Nú er fyrst að segja frá keisaranum og þeim hinum mikla her er hann hafði að þeir ganga á land upp þá er þeir koma við Danmörk og sjá Danavirki og þykir eigi vera auðvelligt að sækja ef varnarmenn eru fyrir og hverfa frá og ofan til skipa sinna og ganga á skip út,
IP-SUB,jomsvikingar,nar,1260,13,0.16,sag,6884,BEDI,,,,,,og megu nú sjá það að þeir fá eigi náð skipunum þvíað þeir keisari hafa þar yfirsókn og sýnist nú rállegast að svo vöxnu máli sem var að senda menn á fund Óttu keisara og Ólafs Tryggvasonar,
IP-MAT,jomsvikingar,nar,1260,13,0.16,sag,6934,BEPI,,,,,,Nú er að segja frá því er gerðist í ferð Hákonar jarls þá er hann fór heim til Noregs að hann kom við Gautland,
IP-MAT,jomsvikingar,nar,1260,13,0.16,sag,7036,BEPI,,,,,,Nú er að segja frá Haraldi konungi þá er hann fregn að Áki var farinn til boðsins,
IP-SUB,jomsvikingar,nar,1260,13,0.16,sag,7066,BEDI,,,,,,og var það mest fyrir því að honum þóttu ósýnar hefndirnar við þann sem um var að eiga reyndar er konungur var sjálfur,
IP-MAT,jomsvikingar,nar,1260,13,0.16,sag,7306,BEPI,,,,,,Nú er frá því að segja þá er voraði,
IP-MAT,gragas,law,1270,13,0.19,law,7769,BEPI,,,,,,Þar er kostur að lýsa sér hvort frumhlaup og drep,
IP-MAT,gragas,law,1270,13,0.19,law,7865,BEPI,,,,,,Lagalöstu þessa alla sem hér eru taldir um víg og um sár og um drep og um öll frumhlaup er rétt að lýsa fyrir vettvangsbúum fimm þeim er réttir sé að leiðarlengd í níu búa kvið frá vettvangi og vanda að engu annars,
IP-MAT,morkin,nar,1275,13,0.18,his,8390,BEDI,,,,,,og var síð of aftaninn tekið að berjast,
IP-MAT,morkin,nar,1275,13,0.18,his,8731,BEPI,,,,,,Nú er þar til að taka að Ragnhildur konungsdóttir fer til Sveins konungs,
IP-MAT,morkin,nar,1275,13,0.18,his,8868,BEPI,,,,,,En það er að segja frá Haraldi konungi að hann hefir þing of morgininn,
IP-MAT,morkin,nar,1275,13,0.18,his,9465,BEPI,,,,,,en vant er nú að yrkja eftir er Þjóðólfur kvað áður og þér fyrst að upphafi,
IP-SUB,alexander,nar,1300,14,0.21,sag,10207,BEPI,,,,,,Þessi sveinn Alexander var í skóla settur sem siðvenja er til ríkra manna utanlands að láta gera við börn sín,
IP-SUB,alexander,nar,1300,14,0.21,sag,10546,BEPI,,,,,,Og því skundar hann svo að þaðan sem hann var þá staddur er að fara inn í megin landsins um þröngva dali og miklar torfærur,
IP-MAT,alexander,nar,1300,14,0.21,sag,10558,BEDI,,,,,,Tólf þjóðir voru til settar að varðveita þenna blótskap þær er á sína tungu mælti hver,
IP-MAT,alexander,nar,1300,14,0.21,sag,10587,BEPI,,,,,,Nú er að segja frá Alexandro að hvar sem hann fer þá stökkur landsfólkið undan og eyðir héruðin,
IP-MAT,alexander,nar,1300,14,0.21,sag,10689,BEPI,,,,,,Nú er að segja frá Dario konungi að þá er hann er kominn fram að þröngva dal þeim er fyrr var getið með allan her kemur í mót honum með mikla riddarasveit gerskur maður einn sá er Timodes hét,
IP-MAT,alexander,nar,1300,14,0.21,sag,10775,BEDS,,,,,,Og ef hann skyldi kjósa hvort hann vildi heldur flýja og hafa sigur eða verjast úr stað og vera sigraður af flóttamönnum væri sá einn fyr hendi að taka þann kost annan hvorn,
IP-MAT,alexander,nar,1300,14,0.21,sag,10807,BEPI,,,,,,Nú er frá því að segja að Alexander fylkir liði sínu,
IP-MAT,alexander,nar,1300,14,0.21,sag,10846,BEPI,,,,,,Og engi er það mildi að þyrma mótstöðumönnum sínum í bardaga,
IP-MAT,alexander,nar,1300,14,0.21,sag,10866,BEPI,,,,,,Frá því er nú að segja að hér verður kostur að sjá sem ætla má mörg og ágætlig vopn,
IP-MAT,alexander,nar,1300,14,0.21,sag,10875,BEDI,,,,,,En það var allt látið niðri liggja er þeim hafði til svívirðingar gerst,
IP-MAT,alexander,nar,1300,14,0.21,sag,10881,BEPI,,,,,,En það er að segja frá ævilokum Cyri konungs þess er hvervetna er getið á bókum að drottning ein sú er Tomyris hét reis í mót honum,
IP-MAT,alexander,nar,1300,14,0.21,sag,10983,BEPI,,,,,,Frá því er nú að segja að sá maður gengur hart fram í liði Serkja er Negusar heitir,
IP-MAT,alexander,nar,1300,14,0.21,sag,11293,BEPI,,,,,,Það er nú næst að segja frá Alexandro konungi að hann fer yfir ána Euphraten með allt lið sitt,
IP-MAT,alexander,nar,1300,14,0.21,sag,11571,BEPI,,,,,,Það er nú að segja frá Alexandro konungi að hann hefir lagst til svefns,
IP-MAT,grettir,nar,1310,14,0.2,sag,11741,BEDI,,,,,,Var Gretti ætlað að leika við,
IP-MAT,grettir,nar,1310,14,0.2,sag,12334,BEPI,,,,,,Nú er að segja frá berserkjunum að þeim þótti Gretti dveljast afturkoman,
IP-MAT,grettir,nar,1310,14,0.2,sag,12354,BEDI,,,,,,Var það hin mesta mannhætta að fást við þá fyrir afls sakir þó að þeir hefðu eigi vopn,
IP-MAT,grettir,nar,1310,14,0.2,sag,12398,BEDI,,1,,,,Var þá farið að leita berserkjanna þeirra sem undan höfðu komist um kveldið,
IP-MAT,grettir,nar,1310,14,0.2,sag,12562,BEDI,,,,,,Var þá ekki að metast við aðra um atgönguna,
IP-MAT,grettir,nar,1310,14,0.2,sag,13456,BEDI,,,,,,Annan dag jóla var farið að leita við enn að færa Glám til kirkju,
IP-SUB,grettir,nar,1310,14,0.2,sag,13458,BEDI,,,,,,og gátu þeir hvergi fært hann þegar sléttlendið var og eigi var forbrekkis að fara,
IP-SUB,arni,nar,1325,14,0.21,sag,13879,BEDS,,,,,,Hann tjáði og það fyrir honum að það væri biskupleg skylda að eggja fólk á þá hluti sem þeim væri bæði í sæmd og uppreist siðbót og nauðsyn,
IP-MAT,arni,nar,1325,14,0.21,sag,13916,BEDI,,,,,,Magnús kóngur var beðinn að sitja hjá dómi,
IP-MAT,arni,nar,1325,14,0.21,sag,14539,BEPI,,,,,,Nú er í annan stað frá Loðin að segja,
IP-MAT,arni,nar,1325,14,0.21,sag,14553,BEDI,,,,,,Var það þá ráðs tekið er hún var skoðuð að lögtaka hana ei alla,
IP-SUB,arni,nar,1325,14,0.21,sag,14562,BEPS,,,,,,og það hafa og halda sem Magnús kóngur gaf þeim að allir menn séu frjálsir í þessu landi sínu góssi að ráða um lögaura og dilkfjáreign um búfjárábyrgð og skildaga er að öngvu skal hafa um ábyrgð á fúlgufé og hversu af höndum skal lúka um vinnumenn og leiguföll um þjófafærslur og heytökur um fjárhald ómaga um fátækra manna flutning,
IP-SUB,arni,nar,1325,14,0.21,sag,14754,BEDS,,,,,,En er biskup vissi þessar greinir tók hann senn úr að það væri yfirdrepskapur Ásgríms að láta fyrir þeim manni líklegast er biskup trúði framast því að það mátti alla tíma djarflega segja að hjá Runólfi ábóta mundi annar endir mála Árna biskups,
IP-MAT,bandamennM,nar,1350,14,0.2,sag,14830,BEDI,,,,,,Þá var hann beðinn af vinum sínum að staðfestast hér,
IP-MAT,bandamennM,nar,1350,14,0.2,sag,15259,BEPI,,,,,,Nú er þar til að taka að Ófeigur karl gengur upp á völluna og til dómanna,
IP-MAT,finnbogi,nar,1350,14,0.16,sag,16629,BEPI,,,,,,Nú er að segja frá Finnboga,
IP-MAT,finnbogi,nar,1350,14,0.16,sag,17373,BEPI,,,,,,Það er nú að segja frá Hrafni,
IP-SUB,finnbogi,nar,1350,14,0.16,sag,17704,BEDI,,,,,,Jökull sá að þetta mundi svo fara með því að hann mæddi mjög blóðrás og það að Svartur stóð með reidda rekuna og var búinn að slá hann með,
IP-MAT,finnbogi,nar,1350,14,0.16,sag,17990,BEDI,,,,,,Var hann og jafnan síðan formælandi það að styrkja og styðja sem hinir ágætustu menn boðuðu,
IP-MAT,finnbogi,nar,1350,14,0.16,sag,18157,BEPI,,,,,,Þar er til að taka sem Finnbogi er heima að Borg,
