label	subgenre	century	lexicaldiversity	genre	textid	treeid	text
IP-MAT	lin	12	0.29	sci	firstgrammar	77	En það er gott að vita sem fyrr var getið er svo kveður að hverjum raddarstaf í hverju máli sem hann heitir í stafrófi nema þá er hann hafnar sínu eðli og hann má heldur þá samhljóðandi heita en raddarstafur
IP-MAT	ser	12	0.17	rel	homiliubok	185	Menn þeir er bera kennimannanöfn og vígslur yfir ólærðum mönnum þeir eru skyldir að þjóna Guði skapera sínum á öllum hátíðum með tvinnri þjónustu
IP-MAT	ser	12	0.17	rel	homiliubok	186	þeir eru skyldir að þjóna Guði skapera sínum á öllum hátíðum með tvinnri þjónustu Þeirri annarri að veita tíðagjörð í heyrn yður slíka sem til hverrar hátíðar er gjör á bókum og reka svo erindi yðvart við Guð að halda fyr yður bænum þeim er til eru settar
IP-SUB	ser	12	0.17	rel	homiliubok	203	En þó er hennar hreinlífi dýrlegra en annarra því að meiri vegur er að sýna in bestu dæmi en eftir að glíkja
IP-MAT	ser	12	0.17	rel	homiliubok	284	Á jörðu er mönnum skylt að fagna dýrð hennar því að hún vill hjálpa öllum þeim er hana dýrka
IP-MAT	ser	12	0.17	rel	homiliubok	381	Og eigi er maður skyldur að gefa framar
IP-MAT	ser	12	0.17	rel	homiliubok	597	En þó að allra mest þyki það til hátíða koma að ræða of þekktarhluti þá er þó enn sem nauðsyn beiði að láta yður vita við hví varast skal alls þó verður mjög langt á meðal áminninganna
IP-MAT	ser	12	0.17	rel	homiliubok	608	Sicut þeim manni verður harla þungt að svimma ef hann vill eigi kasta fötum sínum áður af sér hvort er hann svimmur í sjó eða vatni þá er þó torveldlegri byrður öndinni að komast með syndirnar í loftið upp
IP-SUB	ser	12	0.17	rel	homiliubok	622	Nú svo sem vanur er veiðimaðurinn að verpa þar neti sínu er hann veit mestrar veiði von svo gerði og Guðs sonur að hann beið þessa fjölmennis og gaf huggera vinum sínum á þeirri tíð er menn mætti víðast bera lof hans og segja hverjar vingjafar hann veitti ástmönnum sínum
IP-MAT	ser	12	0.17	rel	homiliubok	656	Það var síðan önn ólítil að skíra þá menn er til trúu komu
IP-MAT	ser	12	0.17	rel	homiliubok	721	og er oss boðið að halda minning lausnar vorrar til þess að vér gleymim eigi miskunn Guðs
IP-MAT	ser	12	0.17	rel	homiliubok	827	Allar sakar eru smáar og fáar þær er órir bræður gera við oss við það að virða er vér gerum við vorn almáttkan föður
IP-SUB	ser	12	0.17	rel	homiliubok	856	Það er svo rétt skilið Þó að svo illa hafim vér fyr oss leitað er vér vorum Guðs börn að nú séim vér djöfuls mansmenn og synda þjónar og þýjar að Guð frelsi oss frá þeirri ánauð svo að vér þjónim hans réttlæti og standimst freistni og megim fyrgefa þeim er oss misbjóða til þess að Guð fyrgefi oss órar syndir svo að vér séim maklegir að taka þeirrar styrktar brauð er vér lifim að Guðs þokka svo að vér verðim himinríkis menn og heilög Guðs börn honum að öllu þokkuð eftir dómadag þá er vér erum að fullu frelst frá öllu illu frá helvíti og djöfli og öllum hans árum frá öllum svikum og frá sótt og dauða og öllum synda vítum og öllum þessa heims meinum í fullri sælu og eilífum fagnaði ei og ei
IP-MAT	ser	12	0.17	rel	homiliubok	1047	En nú er að ræða of þá er undir miskunn vóru og náðu að sjá Krist í mennskum líkam og heyra orð hans og kenningar og styrkjast af hans jarteinum
IP-MAT	ser	12	0.17	rel	homiliubok	1078	en það er að helga kirkju Jóhanni baptista er fyrstur kenndi mönnum synda iðrun
IP-SUB	ser	12	0.17	rel	homiliubok	1118	Það vil eg og segja yður að aldregi verða syndir órar svo stórar eða svo margar að eigi vilji Guð þegar fyrgefa þær ef af er látið að misgjöra og svo yfirbætt sem máttur er til
IP-MAT	ser	12	0.17	rel	homiliubok	1189	Svo var fyrst að farið að skipta heiminum í þriðjunga
IP-MAT	ser	12	0.17	rel	homiliubok	1568	en þó er oss bannað að fara ina sömu götu aftur alls vér kenndum Jesúm
IP-MAT	ser	12	0.17	rel	homiliubok	1706	Það er svo að skilja að maður matist hvern dag og aldregi sem fýsir
IP-MAT	ser	12	0.17	rel	homiliubok	1772	Það er rétt páskahald að halda siðlæti öllu inu sama sem of föstu og viðsjá synda
IP-SUB	ser	12	0.17	rel	homiliubok	1836	Kristur lét sér sóma að deyja meðal vondra manna og þeim dauða sem títt var að bana vændismönnum að hann sýndi sig til þess hafa komið í heim að samtengja góða menn og illa þeirri samtengingu er illir menn mætti batna af samvistum góðra og hverfa frá illsku en þeim yrði að áfallsdómi er eigi vildi batna
IP-SUB	ser	12	0.17	rel	homiliubok	1909	Upprisutíð Drottins sú er vér höldum nú er æðst og helgust allra hátíða þeirra er oss sé boðnar að halda í þessum heimi
IP-SUB	ser	12	0.17	rel	homiliubok	2196	Af því megum vér merkja hversu skyldir vér erum að fylla það er Guð býður oss til syndabótar er Kristur sjálfur eða móðir hans létu sér sóma syndalaus að ganga undir lög þau er syndgum mönnum vóru til hreinsunar sett
IP-MAT	sag	13	0.21	rel	jartein	2553	Menn voru að tjalda kirkju á einhverjum bæ
IP-MAT	sag	13	0.21	rel	jartein	2570	Var þar hvorki að sjá til værleika né verknaðar
IP-MAT	sag	13	0.21	rel	jartein	2782	En þá var fengin til öx mikil að höggva þelann
IP-MAT	sag	13	0.21	rel	jartein	2949	og var það rætt í hvers manns híbýlum daglega að segja frá hans jarteinum og heilagleik
IP-SUB	sag	13	0.25	rel	thorlakur	3141	Gjörði hann það maklega þótt hann virði hann mikils í sinni umræðu því að það var honum í að launa
IP-SUB	sag	13	0.25	rel	thorlakur	3417	Sá hann hve mikil nauðsyn á var gott að kenna sem Davíð segir í saltara Komið þér synir
IP-MAT	sag	13	0.25	rel	thorlakur	3454	Þess er og að geta er Þorlákur biskup elskaði þann stað mest þegar er Skálholt leið er hann hafði áður prýddan með sinni aðvist
IP-MAT	sag	13	0.25	rel	thorlakur	3477	Nú er að segja af hversdagsháttum hins sæla Þorláks biskups hve jafnlyndur hann var í góðum hlutum
IP-SUB	sag	13	0.25	rel	thorlakur	3486	Hann var svo jafnlyndur í föstum sínum þá hann var heima en í vökum og bænahaldi hvort sem hann var heima eða eigi að til hins sama var ey að ætla
IP-MAT	sag	13	0.25	rel	thorlakur	3598	og var í sönghúsi þrjár nætur að bíða graftrar
IP-MAT	sag	13	0.18	nar	sturlunga	4687	Jafnframt þessu er að segja frá Sturlu
IP-MAT	sag	13	0.18	nar	sturlunga	5710	COM:Chapter_306 Frá ferð Órækju er það að segja að hann kom til Laugarvatns um dagseturs skeið
IP-SUB	sag	13	0.32	nar	thetubrot	6113	lét Þorsteinn þar að vera marga menn um vorið því að það er löng leið að gerða
IP-MAT	sag	13	0.16	nar	jomsvikingar	6223	og er títt að reyna þessa vitru hennar og tilskipan
IP-MAT	sag	13	0.16	nar	jomsvikingar	6434	Nú er þar til máls að taka er þeir eru feðgar Haraldur og Gormur konungur að þeir urðu ósamþykkir þegar er Haraldur hafði nokkurn kraft aldursins
IP-MAT	sag	13	0.16	nar	jomsvikingar	6775	Nú er fyrst að segja frá keisaranum og þeim hinum mikla her er hann hafði að þeir ganga á land upp þá er þeir koma við Danmörk og sjá Danavirki og þykir eigi vera auðvelligt að sækja ef varnarmenn eru fyrir og hverfa frá og ofan til skipa sinna og ganga á skip út
IP-SUB	sag	13	0.16	nar	jomsvikingar	6884	og megu nú sjá það að þeir fá eigi náð skipunum þvíað þeir keisari hafa þar yfirsókn og sýnist nú rállegast að svo vöxnu máli sem var að senda menn á fund Óttu keisara og Ólafs Tryggvasonar
IP-MAT	sag	13	0.16	nar	jomsvikingar	6934	Nú er að segja frá því er gerðist í ferð Hákonar jarls þá er hann fór heim til Noregs að hann kom við Gautland
IP-MAT	sag	13	0.16	nar	jomsvikingar	7036	Nú er að segja frá Haraldi konungi þá er hann fregn að Áki var farinn til boðsins
IP-SUB	sag	13	0.16	nar	jomsvikingar	7066	og var það mest fyrir því að honum þóttu ósýnar hefndirnar við þann sem um var að eiga reyndar er konungur var sjálfur
IP-MAT	sag	13	0.16	nar	jomsvikingar	7306	Nú er frá því að segja þá er voraði
IP-MAT	law	13	0.19	law	gragas	7769	Þar er kostur að lýsa sér hvort frumhlaup og drep
IP-MAT	law	13	0.19	law	gragas	7865	Lagalöstu þessa alla sem hér eru taldir um víg og um sár og um drep og um öll frumhlaup er rétt að lýsa fyrir vettvangsbúum fimm þeim er réttir sé að leiðarlengd í níu búa kvið frá vettvangi og vanda að engu annars
IP-MAT	his	13	0.18	nar	morkin	8390	og var síð of aftaninn tekið að berjast
IP-MAT	his	13	0.18	nar	morkin	8731	Nú er þar til að taka að Ragnhildur konungsdóttir fer til Sveins konungs
IP-MAT	his	13	0.18	nar	morkin	8868	En það er að segja frá Haraldi konungi að hann hefir þing of morgininn
IP-MAT	his	13	0.18	nar	morkin	9465	en vant er nú að yrkja eftir er Þjóðólfur kvað áður og þér fyrst að upphafi
IP-SUB	sag	14	0.21	nar	alexander	10207	Þessi sveinn Alexander var í skóla settur sem siðvenja er til ríkra manna utanlands að láta gera við börn sín
IP-SUB	sag	14	0.21	nar	alexander	10546	Og því skundar hann svo að þaðan sem hann var þá staddur er að fara inn í megin landsins um þröngva dali og miklar torfærur
IP-MAT	sag	14	0.21	nar	alexander	10558	Tólf þjóðir voru til settar að varðveita þenna blótskap þær er á sína tungu mælti hver
IP-MAT	sag	14	0.21	nar	alexander	10587	Nú er að segja frá Alexandro að hvar sem hann fer þá stökkur landsfólkið undan og eyðir héruðin
IP-MAT	sag	14	0.21	nar	alexander	10689	Nú er að segja frá Dario konungi að þá er hann er kominn fram að þröngva dal þeim er fyrr var getið með allan her kemur í mót honum með mikla riddarasveit gerskur maður einn sá er Timodes hét
IP-MAT	sag	14	0.21	nar	alexander	10775	Og ef hann skyldi kjósa hvort hann vildi heldur flýja og hafa sigur eða verjast úr stað og vera sigraður af flóttamönnum væri sá einn fyr hendi að taka þann kost annan hvorn
IP-MAT	sag	14	0.21	nar	alexander	10807	Nú er frá því að segja að Alexander fylkir liði sínu
IP-MAT	sag	14	0.21	nar	alexander	10846	Og engi er það mildi að þyrma mótstöðumönnum sínum í bardaga
IP-MAT	sag	14	0.21	nar	alexander	10866	Frá því er nú að segja að hér verður kostur að sjá sem ætla má mörg og ágætlig vopn
IP-MAT	sag	14	0.21	nar	alexander	10875	En það var allt látið niðri liggja er þeim hafði til svívirðingar gerst
IP-MAT	sag	14	0.21	nar	alexander	10881	En það er að segja frá ævilokum Cyri konungs þess er hvervetna er getið á bókum að drottning ein sú er Tomyris hét reis í mót honum
IP-MAT	sag	14	0.21	nar	alexander	10983	Frá því er nú að segja að sá maður gengur hart fram í liði Serkja er Negusar heitir
IP-MAT	sag	14	0.21	nar	alexander	11293	Það er nú næst að segja frá Alexandro konungi að hann fer yfir ána Euphraten með allt lið sitt
IP-MAT	sag	14	0.21	nar	alexander	11571	Það er nú að segja frá Alexandro konungi að hann hefir lagst til svefns
IP-MAT	sag	14	0.2	nar	grettir	11741	Var Gretti ætlað að leika við
IP-MAT	sag	14	0.2	nar	grettir	12334	Nú er að segja frá berserkjunum að þeim þótti Gretti dveljast afturkoman
IP-MAT	sag	14	0.2	nar	grettir	12354	Var það hin mesta mannhætta að fást við þá fyrir afls sakir þó að þeir hefðu eigi vopn
IP-MAT	sag	14	0.2	nar	grettir	12398	Var þá farið að leita berserkjanna þeirra sem undan höfðu komist um kveldið
IP-MAT	sag	14	0.2	nar	grettir	12562	Var þá ekki að metast við aðra um atgönguna
IP-MAT	sag	14	0.2	nar	grettir	13456	Annan dag jóla var farið að leita við enn að færa Glám til kirkju
IP-SUB	sag	14	0.2	nar	grettir	13458	og gátu þeir hvergi fært hann þegar sléttlendið var og eigi var forbrekkis að fara
IP-SUB	sag	14	0.21	nar	arni	13879	Hann tjáði og það fyrir honum að það væri biskupleg skylda að eggja fólk á þá hluti sem þeim væri bæði í sæmd og uppreist siðbót og nauðsyn
IP-MAT	sag	14	0.21	nar	arni	13916	Magnús kóngur var beðinn að sitja hjá dómi
IP-MAT	sag	14	0.21	nar	arni	14539	Nú er í annan stað frá Loðin að segja
IP-MAT	sag	14	0.21	nar	arni	14553	Var það þá ráðs tekið er hún var skoðuð að lögtaka hana ei alla
