label	nodestring	subgenre	century	lexicaldiversity	postnt	genre	textid	year	treeid	text
-		lin	12	0.29	0	sci	firstgrammar	1150	46	i sa skýja deild þá er vér komum í ısa
-		lin	12	0.29	0	sci	firstgrammar	1150	78	Það verður þá er hann er stafaður við annan staf sem hér eru nokkur dæmi nú
-		lin	12	0.29	0	sci	firstgrammar	1150	111	Sá stafur er hér ritinn c er latínumenn flestir kalla ce og hafa fyrir tvo stafi fyrir t og s þá er þeir stafa hann við e eða i þótt þeir stafi hann við a eða o eða u sem k sem svo stafa skotar þann staf við alla raddarstafi í latínu og kalla che Hann læt ég og che heita í voru stafrófi og stafa ég svo við alla raddarstafi sem k eða q
-		lin	12	0.29	0	sci	firstgrammar	1150	136	og þarf hann af því eigi hér í vora tungu nema maður vilji setja hann fyrir u þá er hann verður stafaður við annan raddarstaf og hafður fyrir samhljóðanda er þó læt ég af nú að rita hann því að ég séka u þess meiri þörf fulltings en öðrum raddarstöfum þá er þeir verða fyrir samhljóðendur settir
-		lin	12	0.29	0	sci	firstgrammar	1150	169	hǫ do þá er Hölgatröll dó
-		lin	12	0.29	0	sci	firstgrammar	1150	170	en heyrði til hǫDo þá er þór bar hverinn
-		lin	12	0.29	0	sci	firstgrammar	1150	178	Nú um þann mann er rita vill eða nema að voru máli ritinn annað tveggja helgar þýðingar eða lög eður áttvísi eða svo hveregi er maður vill skynsamlega nytsemi á bók nema eður kenna enda sé hann svo lítillátur í fróðleiksástinni að hann vilji nema litla skynsemi heldur en öngva þá er á meðal verður hinnar meiri þá lesi hann þetta kapitulum vandlega
-		ser	12	0.17	0	rel	homiliubok	1150	220	en önd Maríu var pínd þá er hún sá augum sínum á píning Drottins vors
-		ser	12	0.17	0	rel	homiliubok	1150	228	og varðveitti hag hennar allra mest Jóan postuli systursonur hennar svo sem Drottinn bauð honum þá er hann hékk á krossinum að hann skyldi henni fylgja sem sinni móður
-		ser	12	0.17	0	rel	homiliubok	1150	237	Nú svo sem allir hlutir urðu að helgum dómum þeir er Drottni órum vóru nálægstir sem etan er hann var í lagður þá er hann var barn eða klæði eða margir hlutir aðrir þá má af slíku marka hve heilög sjá mær er er alla ævi hafði Guði þjónað og var glíkari Guðs englum en mönnum í atferð sinni áður hún bæri Drottin vorn og náði svo mikilli samvistu við Guð að hún hafði hann luktan líkama sínum
-		ser	12	0.17	0	rel	homiliubok	1150	239	En þau dæmi of tekur til þessa Þá er sól skín á gler í heiði þá er glerið lýsist og hitnar af sólunni
-		ser	12	0.17	0	rel	homiliubok	1150	242	Þá er sól skín á glerið þá er hún jafnbjört sem áður
-		ser	12	0.17	0	rel	homiliubok	1150	298	Dominus bar vitni sjálfur í guðspalli of þetta þá er hann taldi fyr mönnum
-		ser	12	0.17	0	rel	homiliubok	1150	327	En þá er kom að hleyti Sakarías að fremja biskupsembætti þá fer hann til templum Domini að bera þar reykelsi
-		ser	12	0.17	0	rel	homiliubok	1150	369	En þá er hann hafði ritið þá gefst honum málið
-		ser	12	0.17	0	rel	homiliubok	1150	399	En við það er hann gerðist slíkur afburðarmaður þá lögðu menn á hann þá virðing að þeir fóru til fundar við hann og spurðu ef hann væri Kristur
-		ser	12	0.17	0	rel	homiliubok	1150	416	Og hann sá inn helga anda koma yfir hann í dúfu líki þá er hann skírði hann
-		ser	12	0.17	0	rel	homiliubok	1150	486	En það er vitanda að þá göfgum vér réttlega postula Guðs alla er vér dýrkum maklega einn þeirra því að sú er ást og elska á millum heilagra manna að þá þykist hver þeirra vera göfgaður einn sér er allir eru göfgaðir saman og allir er einhver er göfgaður
-		ser	12	0.17	0	rel	homiliubok	1150	526	Því að Guð heldur upp vötnum þá er hann stöðvar regn og hríðir
-		ser	12	0.17	0	rel	homiliubok	1150	545	og taka þá að leiðast syndir er þeir taka að mæðast að líkams afli
-		ser	12	0.17	0	rel	homiliubok	1150	546	sicut dagurinn er sól er í vestri kólnar þá er sólin lægist svo kólnar líkamur mannsins í ellinni
-		ser	12	0.17	0	rel	homiliubok	1150	592	Margur sækir knálega þangað er minna erindis mun fara og minni forvitnisbót en hitt að hann varðveiti sig svo að hann næði að sjá Drottin sinn í magni guðdóms síns og dýrð Maríu móður hans greinda alla virðing allra engla fylkja hvað hvert þeirra ber af öðru Líta síðan dýrð Jóans baptista er Guð sjálfur bar það vitni að engi mætti framar komast en til jafns við hann Postula alla síðan er dómendur órir skulu vera og ráða við Guð hvort vér skulum vera fullsælir eða alls andvana þess er betra er að hafa en án að vera Píslarvotta Guðs heimsækja er kennt hafa oss hversu vér skulum fast halda trú vorri að fyrr skulum vér brenna láta líkam vorn og járnum skera en neita Guði
-		ser	12	0.17	0	rel	homiliubok	1150	623	Nú skulum vér að því hyggja hvílíkir Guðs postular voru þá er sjá dagur kom eða hversu þeir skipuðust að dagmálum dagsins
-		ser	12	0.17	0	rel	homiliubok	1150	632	Þeir sátu í þessu húsi allir saman með sínu liði þá er leið að dagmálum
